year,symbol,fiscalDateEnding,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,reportedEPS,Sector,Industry,futureEPS
2009,C,2009-12-31,1856646000000,192886000000.0,192886000000.0,192886000000.0,283894000000.0,,25392000000.0,,,15244000000.0,15244000000.0,25392000000.0,306119000000.0,1204363000000.0,239599000000.0,,,1701673000000.0,68879000000.0,,,68879000000.0,68879000000.0,1269000000.0,,364019000000.0,,25942000000.0,432898000000.0,-129292000000.0,234514000000.0,152700000000.0,4543000000.0,77440000000.0,286000000.0,28483267000.0,-8813000000,80285000000,89098000000,41947000000.0,-56635000000,30975000000.0,,47822000000,,48496000000.0,76398000000.0,27902000000.0,31789000000.0,,,2853000000.0,-8339000000,-6733000000,27721000000.0,-1161000000.0,5065000000.0,19563000000,-3919000000.0,-1606000000,-2.9,FINANCE,NATIONAL COMMERCIAL BANKS,3.75
2009,CAT,2009-12-31,60038000000,27217000000.0,4867000000.0,4867000000.0,6360000000.0,5611000000.0,18256000000.0,12386000000.0,11835000000.0,2734000000.0,465000000.0,2269000000.0,105000000.0,105000000.0,43000000.0,1650000000.0,1632000000.0,50738000000.0,18975000000.0,2993000000.0,,4083000000.0,4083000000.0,2179000000.0,,21847000000.0,,21847000000.0,25930000000.0,1281000000.0,2496000000.0,9300000000.0,10646000000.0,19711000000.0,3439000000.0,624700000.0,5654000000,32396000000,26742000000,23886000000.0,577000000,3645000000.0,1421000000.0,31819000000,98000000.0,,,1434000000.0,184000000.0,381000000.0,2254000000.0,61000000.0,625000000,-270000000,,827000000.0,2662000000.0,577000000,638000000.0,895000000,2.16,TECHNOLOGY,CONSTRUCTION MACHINERY & EQUIP,6.37
2009,CMCSA,2009-12-31,112733000000,3223000000.0,671000000.0,721000000.0,,1711000000.0,109510000000.0,23855000000.0,27810000000.0,78490000000.0,63557000000.0,14933000000.0,5997000000.0,5947000000.0,50000000.0,551000000.0,1218000000.0,70012000000.0,7249000000.0,3094000000.0,,1156000000.0,1156000000.0,62507000000.0,,27940000000.0,,,29096000000.0,6093000000.0,6767000000.0,42721000000.0,7517000000.0,10005000000.0,32000000.0,2854000000.0,27093000000,35756000000,8663000000,22042000000.0,7214000000,7662000000.0,,11011000000,282000000.0,-2348000000.0,,2348000000.0,,22000000.0,5483000000.0,6500000000.0,5116000000,1478000000,2348000000.0,3564000000.0,3705000000.0,7464000000,13964000000.0,3638000000,0.65,TECHNOLOGY,CABLE & OTHER PAY TELEVISION SERVICES,1.46
2009,COP,2009-12-31,152138000000,21167000000.0,542000000.0,542000000.0,4940000000.0,13215000000.0,95229000000.0,87708000000.0,53534000000.0,4461000000.0,823000000.0,3638000000.0,34733000000.0,34733000000.0,,2470000000.0,708000000.0,89525000000.0,23695000000.0,15485000000.0,,1728000000.0,1300000000.0,52993000000.0,,26925000000.0,,,28653000000.0,2234000000.0,3097000000.0,62023000000.0,16211000000.0,32214000000.0,17000000.0,1489834000.0,44589000000,149387000000,104798000000,102433000000.0,41042000000,1830000000.0,190000000.0,3547000000,227000000.0,-1776000000.0,,1776000000.0,46000000.0,518000000.0,,9295000000.0,9504000000,5090000000,1289000000.0,38156000000.0,9354000000.0,11280000000,21573000000.0,4414000000,3.65,ENERGY & TRANSPORTATION,PETROLEUM REFINING,5.31
2009,CVX,2009-12-31,164621000000,37216000000.0,8716000000.0,8822000000.0,5529000000.0,17703000000.0,127405000000.0,96468000000.0,91820000000.0,4618000000.0,4618000000.0,4618000000.0,21158000000.0,21158000000.0,106000000.0,5162000000.0,2879000000.0,72060000000.0,26211000000.0,16437000000.0,,4574000000.0,384000000.0,45849000000.0,301000000.0,5705000000.0,66000000.0,9829000000.0,6089000000.0,5375000000.0,,91914000000.0,26168000000.0,106289000000.0,1832000000.0,1992801000.0,59347000000,171636000000,112289000000,107762000000.0,-93761000000,4527000000.0,603000000.0,22412000000,,-28000000.0,,28000000.0,1000000000.0,918000000.0,12110000000.0,12110000000.0,18448000000,7965000000,28000000.0,10563000000.0,10086000000.0,18476000000,30586000000.0,10483000000,4.84,ENERGY & TRANSPORTATION,PETROLEUM REFINING,10.14
2009,DE,2009-10-31,41133000000,7049000000.0,4651700000.0,4651700000.0,2397300000.0,,6012200000.0,4532200000.0,,1173300000.0,136300000.0,1037000000.0,3513200000.0,212800000.0,192000000.0,,,36309800000.0,12585300000.0,,,,7158900000.0,17391700000.0,,17391700000.0,,17391700000.0,24550600000.0,-225000000.0,6169600000.0,4818700000.0,5564700000.0,10980500000.0,2996000000.0,423100000.0,4501000000,23112400000,18611400000,16255200000.0,1607000000,2780600000.0,977000000.0,6038400000,1389000000.0,-1042400000.0,,1042400000.0,68000000.0,-6300000.0,,873300000.0,1333500000,460000000,1042400000.0,873500000.0,-459000000.0,2375900000,3255500000.0,873500000,2.81,TECHNOLOGY,FARM MACHINERY & EQUIPMENT,8.9
2009,DHR,2009-12-31,19595420000,5220628000.0,1721900000.0,1721920000.0,993016000.0,1916831000.0,14374792000.0,1143331000.0,1570600000.0,12108003000.0,2655503000.0,9452500000.0,110600000.0,,20000.0,588861000.0,758035000.0,7965200000.0,2760960000.0,,,44186000.0,180000000.0,5204284000.0,,2933200000.0,44186000.0,2889023000.0,3113200000.0,1665287000.0,2315261000.0,11630176000.0,,9205142000.0,3589000.0,322735000.0,5070097000,11062282000,9094929000,5446584000.0,1439682000,3115265000.0,600268000.0,3945518000,5034000.0,-122656000.0,-4002000.0,118654000.0,,,175365000.0,157000000.0,1390722000,239018000,122656000.0,1087044000.0,1151704000.0,1509376000,1666376000.0,1151704000,1.77,LIFE SCIENCES,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL",3.68
2009,FI,2009-12-31,8378000000,1277000000.0,363000000.0,363000000.0,,554000000.0,7101000000.0,293000000.0,525000000.0,6377000000.0,2006000000.0,4371000000.0,23000000.0,,,314000000.0,431000000.0,5352000000.0,1161000000.0,,,259000000.0,259000000.0,4191000000.0,,3641000000.0,259000000.0,3382000000.0,3641000000.0,461000000.0,229000000.0,3026000000.0,2005000000.0,4371000000.0,2000000.0,153600000.0,946000000,4077000000,3131000000,2380000000.0,946000000,751000000.0,,971000000,8000000.0,-220000000.0,,220000000.0,,,91000000.0,188000000.0,749000000,273000000,220000000.0,473000000.0,527000000.0,969000000,1157000000.0,476000000,0.7656,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,1.03
2009,GE,2009-12-31,781949000000,100705000000.0,70479000000.0,72260000000.0,11987000000.0,16458000000.0,146715000000.0,68970000000.0,44103000000.0,76746000000.0,11751000000.0,64995000000.0,1015000000.0,,1781000000.0,124200000000.0,,656765000000.0,167284000000.0,19527000000.0,,135710000000.0,129869000000.0,338215000000.0,,10604000000.0,5841000000.0,,140473000000.0,31600000000.0,,117291000000.0,32238000000.0,124655000000.0,702000000.0,10663075000.0,27693000000,154396000000,126703000000,75921000000.0,15605000000,14842000000.0,3288000000.0,56292000000,,-17697000000.0,,17697000000.0,,,10617000000.0,10636000000.0,9883000000,-1142000000,18309000000.0,10881000000.0,17613000000.0,27580000000,39749000000.0,11025000000,8.16,MANUFACTURING,ELECTRONIC & OTHER ELECTRICAL EQUIPMENT (NO COMPUTER EQUIP),13.28
2009,GILD,2009-12-31,9698559000,4812558000.0,1272958000.0,1656975000.0,1051771000.0,1389534000.0,3361224000.0,699970000.0,,1524777000.0,1062219000.0,462558000.0,2680585000.0,2247871000.0,384017000.0,66891000.0,85635000.0,3331494000.0,1871631000.0,810544000.0,,5587000.0,5587000.0,1321770000.0,,2315266000.0,,1155443000.0,1248413000.0,932779000.0,35918000.0,6367065000.0,-6505158000.0,1995272000.0,900000.0,899753000.0,4873753000,7011383000,2137630000,1595558000.0,3529221000,946686000.0,939918000.0,1956266000,,-69662000.0,,69662000.0,16400000.0,42397000.0,64560000.0,212944000.0,3512119000,876364000,69662000.0,2625592000.0,2578594000.0,3581781000,3571618000.0,2635755000,1.54,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",8.32
